79.034 66.171 31.065 27.593 127.259 79.415
77.762 65.631 32.434 33.066 112.135 78.264
88.799 73.106 35.307 31.844 119.659 89.264
84.842 70.491 37.386 37.919 115.665 85.292
91.106 77.040 38.871 27.939 121.675 91.695
68.430 59.123 34.592 43.470 97.890 68.745
80.579 67.927 32.847 26.951 124.535 80.920
78.502 67.198 32.945 32.900 113.674 79.152
90.623 75.382 35.997 32.828 120.894 91.129
83.691 70.126 37.603 35.107 115.180 84.177
93.672 79.990 42.031 28.812 120.187 94.385
79.900 69.469 38.478 40.363 99.716 80.183
77.641 66.169 37.234 38.019 110.341 78.214
82.391 71.358 29.848 34.287 122.093 82.667
82.547 67.358 30.899 33.975 126.803 82.976
79.966 67.372 33.647 30.743 117.519 80.507
77.119 66.134 38.694 45.896 103.386 77.754
77.425 66.803 30.091 34.120 115.194 77.758
86.061 70.483 32.067 32.481 127.943 86.476
79.724 66.925 34.173 27.952 114.381 80.117
97.856 80.190 37.728 25.529 130.214 98.091
97.979 79.263 37.443 27.887 129.781 98.203
88.781 75.583 40.437 29.478 123.981 89.180
100.464 83.907 43.512 26.843 120.542 100.807
86.006 73.463 40.539 29.788 106.916 86.417
75.205 65.491 36.198 29.439 99.300 75.391
90.767 74.875 36.718 28.886 125.143 91.043
92.323 75.415 38.137 29.107 124.028 92.579
88.573 74.768 39.993 30.268 123.171 88.977
101.277 84.561 43.550 27.421 123.321 101.781
86.597 73.603 41.026 30.924 107.618 86.994
79.260 68.939 39.009 36.718 97.630 79.476
83.728 72.369 45.646 50.096 127.469 93.457
113.132 91.657 43.485 31.114 132.961 113.606
80.971 70.175 41.340 40.786 99.066 81.214
85.297 73.902 43.399 34.469 97.141 85.850
98.458 80.398 42.309 36.874 122.567 98.879
98.176 82.476 46.534 33.172 114.404 98.740
78.790 69.430 42.927 44.793 129.557 88.065
77.675 68.314 38.864 34.170 101.047 77.960
115.044 93.564 43.560 28.685 135.474 115.461
85.438 74.694 42.211 33.937 101.826 86.146
101.078 82.543 41.291 31.094 125.882 101.549
95.225 81.072 46.160 31.327 112.939 95.831
67.562 57.625 34.590 41.390 98.939 68.487
62.838 55.393 38.842 49.634 84.640 66.751
89.051 71.513 40.127 42.390 120.555 89.852
68.588 54.540 31.762 52.367 108.414 69.239
68.899 57.800 32.489 50.653 95.963 69.448
67.103 56.790 37.548 51.226 105.954 71.930
71.544 63.259 36.569 34.681 97.484 73.765
67.993 58.724 38.943 49.073 91.371 71.499
101.893 81.496 43.230 34.244 126.806 102.355
72.423 57.906 32.712 48.752 110.335 72.837
75.420 63.049 32.962 52.328 104.253 75.784
71.479 60.565 39.087 46.774 107.835 77.015
87.203 71.307 42.079 47.594 105.616 87.908
93.599 75.289 42.070 43.038 126.203 94.570
74.437 59.898 33.801 48.043 112.579 75.693
64.502 55.409 33.932 53.275 87.893 65.351
66.263 57.515 38.205 47.059 83.841 67.921
85.632 70.549 41.030 46.700 105.772 86.463
91.347 73.853 41.520 40.197 123.343 92.315
71.138 59.396 36.115 45.789 102.571 72.084
78.826 67.616 41.729 48.467 116.060 83.926
